Date,SPY,QQQ
5/4/20,283.57,215.22
5/1/20,282.79,212.74
4/30/20,290.48,218.91
4/29/20,293.21,219
4/28/20,285.73,211.5
4/27/20,287.05,215.56
4/24/20,282.97,213.84
4/23/20,279.08,210.52
4/22/20,279.1,210.97
4/21/20,273.04,204.89
4/20/20,281.59,212.74
4/17/20,286.64,215.29
4/16/20,279.1,213.25
4/15/20,277.76,209.43
4/14/20,283.79,211.86
4/13/20,275.66,203.03
4/9/20,278.2,200.86
4/8/20,274.03,200.57
4/7/20,265.13,196.4
4/6/20,264.86,196.48
4/3/20,248.19,183.37
4/2/20,251.83,186.01
4/1/20,246.15,182.31
3/31/20,257.75,190.4
3/30/20,261.65,192.04
3/27/20,253.42,185.3
3/26/20,261.2,191.9
3/25/20,246.79,182.3
3/24/20,243.15,183.66
3/23/20,222.95,170.46
3/20/20,228.8,170.7
3/19/20,240.51,177.66
3/18/20,240,176.6
3/17/20,252.8,182.14
3/16/20,239.85,169.3
3/13/20,269.32,192.34
3/12/20,248.11,177.32
3/11/20,274.36,195.22
3/10/20,288.42,204.11
3/9/20,274.23,193.57
3/6/20,297.46,208.02
3/5/20,302.46,211.59
3/4/20,312.86,218.22
3/3/20,300.24,209.48
3/2/20,309.09,216.42
2/28/20,296.26,205.8
2/27/20,297.51,205.64
2/26/20,311.5,216.48
2/25/20,312.65,215.37
2/24/20,322.42,221.39
2/21/20,333.48,230.27
2/20/20,336.95,234.78
2/19/20,338.34,236.98
2/18/20,336.73,234.73
2/14/20,337.6,234.64
2/13/20,337.06,233.97
2/12/20,337.42,234.27
2/11/20,335.26,232.01
2/10/20,334.68,231.97
2/7/20,332.2,229.2
2/6/20,333.98,230.19
2/5/20,332.86,228.22
2/4/20,329.06,227.47
2/3/20,324.12,222.38
1/31/20,321.73,219.07
1/30/20,327.68,222.6
1/29/20,326.62,221.81
1/28/20,326.89,221.45
1/27/20,323.5,218.1
1/24/20,328.77,222.7
1/23/20,331.72,224.59
1/22/20,331.34,223.87
1/21/20,331.3,223.28
1/17/20,331.95,223.38
1/16/20,330.92,222.28
1/15/20,328.19,220.17
1/14/20,327.45,220.08
1/13/20,327.95,220.95
1/10/20,325.71,218.43
1/9/20,326.65,218.99
1/8/20,324.45,217.15
1/7/20,322.73,215.53
1/6/20,323.64,215.56
1/3/20,322.41,214.18
1/2/20,324.87,216.16
12/31/19,321.86,212.61
12/30/19,321.08,212.21
12/27/19,322.86,213.61
12/26/19,322.94,213.79
12/24/19,321.23,211.92
12/23/19,321.22,211.81
12/20/19,320.73,211.71
12/19/19,320.9,210.86
12/18/19,319.59,209.55
12/17/19,319.57,209.39
12/16/19,319.5,209.27
12/13/19,317.32,207.19
12/12/19,317.13,206.51
12/11/19,314.42,204.98
12/10/19,313.53,203.9
12/9/19,313.88,204.07
12/6/19,314.87,205
12/5/19,312.02,202.83
12/4/19,311.46,202.43
12/3/19,309.55,201.41
12/2/19,311.64,203
11/29/19,314.31,205.1
11/27/19,315.48,206.04
11/26/19,314.08,204.61
11/25/19,313.37,204.22
11/22/19,310.96,201.83
11/21/19,310.27,201.7
11/20/19,310.77,202.15
11/19/19,311.93,203.37
11/18/19,312.02,203.07
11/15/19,311.79,202.91
11/14/19,309.55,201.43
11/13/19,309.1,201.59
11/12/19,309,201.54
11/11/19,308.35,200.96
11/8/19,308.94,201.23
11/7/19,308.18,200.43
11/6/19,307.1,199.76
11/5/19,307.03,200.21
11/4/19,307.37,200.1
11/1/19,306.14,198.87
10/31/19,303.33,197.08
10/30/19,304.14,196.99
10/29/19,303.21,196.04
10/28/19,303.3,197.57
10/25/19,301.6,195.64
10/24/19,300.37,194.09
10/23/19,299.88,192.22
10/22/19,299.01,191.85
10/21/19,299.99,193.39
10/18/19,297.97,191.69
10/17/19,299.28,193.55
10/16/19,298.4,193.04
10/15/19,298.88,193.52
10/14/19,295.95,191.09
10/11/19,296.28,191.11
10/10/19,293.24,188.68
10/9/19,291.27,187.23
10/8/19,288.53,185.42
10/7/19,293.08,188.24
10/4/19,294.35,188.81
10/3/19,290.42,186.07
10/2/19,288.06,184.05
10/1/19,293.24,187.27
9/30/19,296.77,188.81
9/27/19,295.4,187.03
9/26/19,297,189.38
9/25/19,297.62,190.08
9/24/19,295.87,187.97
9/23/19,298.21,190.5
9/20/19,298.28,190.8
9/19/19,301.08,192.84
9/18/19,301.1,192.52
9/17/19,300.92,192.6
9/16/19,300.16,191.68
9/13/19,301.09,192.54
9/12/19,301.29,193.23
9/11/19,300.25,192.43
9/10/19,298.13,190.64
9/9/19,298.2,191.19
9/6/19,298.05,191.59
9/5/19,297.82,191.78
9/4/19,294.04,188.33
9/3/19,290.74,185.65
8/30/19,292.45,187.47
8/29/19,292.58,187.92
8/28/19,288.89,185.09
8/27/19,286.87,184.43
8/26/19,288,184.82
8/23/19,284.85,182.07
8/22/19,292.36,188.02
8/21/19,292.45,188.63
8/20/19,290.09,186.97
8/19/19,292.33,188.43
8/16/19,288.85,185.48
8/15/19,284.65,182.55
8/14/19,283.9,182.76
8/13/19,292.55,188.39
8/12/19,288.07,184.35
8/9/19,291.62,186.49
8/8/19,293.62,188.26
8/7/19,287.97,184.25
8/6/19,287.8,183.26
8/5/19,283.82,180.73
8/2/19,292.62,187.35
8/1/19,294.84,190.15
7/31/19,297.43,191.1
7/30/19,300.72,193.78
7/29/19,301.46,194.62
7/26/19,302.01,195.29
7/25/19,300,193.3
7/24/19,301.44,195.15
7/23/19,300.03,193.79
7/22/19,297.9,192.53
7/19/19,297.17,191.01
7/18/19,298.83,192.42
7/17/19,297.74,192.2
7/16/19,299.71,193.15
7/15/19,300.75,194.15
7/12/19,300.65,193.53
7/11/19,299.31,192.42
7/10/19,298.61,192.56
7/9/19,297.19,190.66
7/8/19,296.82,189.71
7/5/19,298.46,191.05
7/3/19,298.8,191.44
7/2/19,296.43,190.01
7/1/19,295.66,189.26
6/28/19,293,186.74
6/27/19,291.5,186.5
6/26/19,290.47,185.79
6/25/19,290.76,184.93
6/24/19,293.64,188.16
6/21/19,294,188.57
6/20/19,295.86,188.85
6/19/19,293.06,187.11
6/18/19,292.4,186.41
6/17/19,289.37,183.74
6/14/19,289.26,182.64
6/13/19,289.58,183.42
6/12/19,288.39,182.34
6/11/19,288.9,183.4
6/10/19,288.97,183.15
6/7/19,287.65,181.04
6/6/19,284.8,177.61
6/5/19,282.96,176.21
6/4/19,280.53,174.91
6/3/19,274.57,170.12
5/31/19,275.27,173.95
5/30/19,279.03,176.77
5/29/19,278.27,176.03
