Date,Close/Last
1/8/20,217.15
1/7/20,215.53
1/6/20,215.56
1/3/20,214.18
1/2/20,216.16
12/31/19,212.61
12/30/19,212.21
12/27/19,213.61
12/26/19,213.79
12/24/19,211.92
12/23/19,211.81
12/20/19,211.71
12/19/19,210.86
12/18/19,209.55
12/17/19,209.39
12/16/19,209.27
12/13/19,207.19
12/12/19,206.51
12/11/19,204.98
12/10/19,203.9
12/9/19,204.07
12/6/19,205
12/5/19,202.83
12/4/19,202.43
12/3/19,201.41
12/2/19,203
11/29/19,205.1
11/27/19,206.04
11/26/19,204.61
11/25/19,204.22
11/22/19,201.83
11/21/19,201.7
11/20/19,202.15
11/19/19,203.37
11/18/19,203.07
11/15/19,202.91
11/14/19,201.43
11/13/19,201.59
11/12/19,201.54
11/11/19,200.96
11/8/19,201.23
11/7/19,200.43
11/6/19,199.76
11/5/19,200.21
11/4/19,200.1
11/1/19,198.87
10/31/19,197.08
10/30/19,196.99
10/29/19,196.04
10/28/19,197.57
10/25/19,195.64
10/24/19,194.09
10/23/19,192.22
10/22/19,191.85
10/21/19,193.39
10/18/19,191.69
10/17/19,193.55
10/16/19,193.04
10/15/19,193.52
10/14/19,191.09
10/11/19,191.11
10/10/19,188.68
10/9/19,187.23
10/8/19,185.42
10/7/19,188.24
10/4/19,188.81
10/3/19,186.07
10/2/19,184.05
10/1/19,187.27
9/30/19,188.81
9/27/19,187.03
9/26/19,189.38
9/25/19,190.08
9/24/19,187.97
9/23/19,190.5
9/20/19,190.8
9/19/19,192.84
9/18/19,192.52
9/17/19,192.6
9/16/19,191.68
9/13/19,192.54
9/12/19,193.23
9/11/19,192.43
9/10/19,190.64
9/9/19,191.19
9/6/19,191.59
9/5/19,191.78
9/4/19,188.33
9/3/19,185.65
8/30/19,187.47
8/29/19,187.92
8/28/19,185.09
8/27/19,184.43
8/26/19,184.82
8/23/19,182.07
8/22/19,188.02
8/21/19,188.63
8/20/19,186.97
8/19/19,188.43
8/16/19,185.48
8/15/19,182.55
8/14/19,182.76
8/13/19,188.39
8/12/19,184.35
8/9/19,186.49
8/8/19,188.26
8/7/19,184.25
8/6/19,183.26
