Date,Close/Last,,,,
2/3/21,$133.94 ,,,,
2/2/21,$134.99 ,,,,
2/1/21,$134.14 ,,,,
1/29/21,$131.96 ,,,,
1/28/21,$137.09 ,,,,
1/27/21,$142.06 ,,,,
1/26/21,$143.16 ,,,,
1/25/21,$142.92 ,,,,
1/22/21,$139.07 ,,,,
1/21/21,$136.87 ,,,,
1/20/21,$132.03 ,,,,
1/19/21,$127.83 ,,,,
1/15/21,$127.14 ,,,,
1/14/21,$128.91 ,,,,
1/13/21,$130.89 ,,,,
1/12/21,$128.80 ,,,,
1/11/21,$128.98 ,,,,
1/8/21,$132.05 ,,,,
1/7/21,$130.92 ,,,,
1/6/21,$126.60 ,,,,
1/5/21,$131.01 ,,,,
1/4/21,$129.41 ,,,,
12/31/20,$132.69 ,,,,
12/30/20,$133.72 ,,,,
12/29/20,$134.87 ,,,,
12/28/20,$136.69 ,,,,
12/24/20,$131.97 ,,,,
12/23/20,$130.96 ,,,,
12/22/20,$131.88 ,,,,
12/21/20,$128.23 ,,,,
12/18/20,$126.66 ,,,,
12/17/20,$128.70 ,,,,
12/16/20,$127.81 ,,,,
12/15/20,$127.88 ,,,,
12/14/20,$121.78 ,,,,
12/11/20,$122.41 ,,,,
12/10/20,$123.24 ,,,,
12/9/20,$121.78 ,,,,
12/8/20,$124.38 ,,,,
12/7/20,$123.75 ,,,,
12/4/20,$122.25 ,,,,
12/3/20,$122.94 ,,,,
12/2/20,$123.08 ,,,,
12/1/20,$122.72 ,,,,
11/30/20,$119.05 ,,,,
11/27/20,$116.59 ,,,,
11/25/20,$116.03 ,,,,
11/24/20,$115.17 ,,,,
11/23/20,$113.85 ,,,,
11/20/20,$117.34 ,,,,
11/19/20,$118.64 ,,,,
11/18/20,$118.03 ,,,,
11/17/20,$119.39 ,,,,
11/16/20,$120.30 ,,,,
11/13/20,$119.26 ,,,,
11/12/20,$119.21 ,,,,
11/11/20,$119.49 ,,,,
11/10/20,$115.97 ,,,,
11/9/20,$116.32 ,,,,
11/6/20,$118.69 ,,,,
11/5/20,$119.03 ,,,,
11/4/20,$114.95 ,,,,
11/3/20,$110.44 ,,,,
11/2/20,$108.77 ,,,,
10/30/20,$108.86 ,,,,
10/29/20,$115.32 ,,,,
10/28/20,$111.20 ,,,,
10/27/20,$116.60 ,,,,
10/26/20,$115.05 ,,,,
10/23/20,$115.04 ,,,,
10/22/20,$115.75 ,,,,
10/21/20,$116.87 ,,,,
10/20/20,$117.51 ,,,,
10/19/20,$115.98 ,,,,
10/16/20,$119.02 ,,,,
10/15/20,$120.71 ,,,,
10/14/20,$121.19 ,,,,
10/13/20,$121.10 ,,,,
10/12/20,$124.40 ,,,,
10/9/20,$116.97 ,,,,
10/8/20,$114.97 ,,,,
10/7/20,$115.08 ,,,,
10/6/20,$113.16 ,,,,
10/5/20,$116.50 ,,,,
10/2/20,$113.02 ,,,,
10/1/20,$116.79 ,,,,
9/30/20,$115.81 ,,,,
9/29/20,$114.09 ,,,,
9/28/20,$114.96 ,,,,
9/25/20,$112.28 ,,,,
9/24/20,$108.22 ,,,,
9/23/20,$107.12 ,,,,
9/22/20,$111.81 ,,,,
9/21/20,$110.08 ,,,,
9/18/20,$106.84 ,,,,
9/17/20,$110.34 ,,,,
9/16/20,$112.13 ,,,,
9/15/20,$115.54 ,,,,
9/14/20,$115.36 ,,,,
9/11/20,$112 ,,,,
9/10/20,$113.49 ,,,,
9/9/20,$117.32 ,,,,
9/8/20,$112.82 ,,,,
9/4/20,$120.96 ,,,,
9/3/20,$120.88 ,,,,
9/2/20,$131.40 ,,,,
9/1/20,$134.18 ,,,,
8/31/20,$129.04 ,,,,
8/28/20,$124.81 ,,,,
8/27/20,$125.01 ,,,,
8/26/20,$126.52 ,,,,
8/25/20,$124.83 ,,,,
8/24/20,$125.86 ,,,,
8/21/20,$124.37 ,,,,
8/20/20,$118.28 ,,,,
8/19/20,$115.71 ,,,,
8/18/20,$115.56 ,,,,
8/17/20,$114.61 ,,,,
8/14/20,$114.91 ,,,,
8/13/20,$115.01 ,,,,
8/12/20,$113.01 ,,,,
8/11/20,$109.38 ,,,,
8/10/20,$112.73 ,,,,
8/7/20,$111.11 ,,,,
8/6/20,$113.90 ,,,,
8/5/20,$110.06 ,,,,
8/4/20,$109.67 ,,,,
8/3/20,$108.94 ,,,,
7/31/20,$106.26 ,,,,
7/30/20,$96.19 ,,,,
7/29/20,$95.04 ,,,,
7/28/20,$93.25 ,,,,
7/27/20,$94.81 ,,,,
7/24/20,$92.62 ,,,,
7/23/20,$92.85 ,,,,
7/22/20,$97.27 ,,,,
7/21/20,$97 ,,,,
7/20/20,$98.36 ,,,,
7/17/20,$96.33 ,,,,
7/16/20,$96.52 ,,,,
7/15/20,$97.73 ,,,,
7/14/20,$97.06 ,,,,
7/13/20,$95.48 ,,,,
7/10/20,$95.92 ,,,,
7/9/20,$95.68 ,,,,
7/8/20,$95.34 ,,,,
7/7/20,$93.17 ,,,,
7/6/20,$93.46 ,,,,
7/2/20,$91.03 ,,,,
7/1/20,$91.03 ,,,,
6/30/20,$91.20 ,,,,
6/29/20,$90.45 ,,,,
6/26/20,$88.41 ,,,,
6/25/20,$91.21 ,,,,
6/24/20,$90.02 ,,,,
6/23/20,$91.63 ,,,,
6/22/20,$89.72 ,,,,
6/19/20,$87.43 ,,,,
6/18/20,$87.93 ,,,,
6/17/20,$87.90 ,,,,
6/16/20,$88.02 ,,,,
6/15/20,$85.75 ,,,,
6/12/20,$84.70 ,,,,
6/11/20,$83.98 ,,,,
6/10/20,$88.21 ,,,,
6/9/20,$86.00 ,,,,
6/8/20,$83.37 ,,,,
6/5/20,$82.88 ,,,,
6/4/20,$80.58 ,,,,
6/3/20,$81.28 ,,,,
6/2/20,$80.84 ,,,,
6/1/20,$80.46 ,,,,
5/29/20,$79.49 ,,,,
5/28/20,$79.56 ,,,,
5/27/20,$79.53 ,,,,
5/26/20,$79.18 ,,,,
5/22/20,$79.72 ,,,,
5/21/20,$79.21 ,,,,
5/20/20,$79.81 ,,,,
5/19/20,$78.29 ,,,,
5/18/20,$78.74 ,,,,
5/15/20,$76.93 ,,,,
5/14/20,$77.39 ,,,,
5/13/20,$76.91 ,,,,
5/12/20,$77.85 ,,,,
5/11/20,$78.75 ,,,,
5/8/20,$77.53 ,,,,
5/7/20,$75.94 ,,,,
5/6/20,$75.16 ,,,,
5/5/20,$74.39 ,,,,
5/4/20,$73.29 ,,,,
