Date,Close/Last,Volume,Open,High,Low
01/04/2019,252.39,142444500,247.59,253.11,247.17
01/03/2019,244.21,142029300,248.23,248.57,243.67
01/02/2019,250.18,126041700,245.98,251.21,245.95
12/31/2018,249.92,143399900,249.56,250.19,247.47
12/28/2018,247.75,152931300,249.58,251.4,246.45
12/27/2018,248.07,184664900,242.57,248.29,238.96
12/26/2018,246.18,217567600,235.97,246.18,233.76
12/24/2018,234.34,147311600,239.04,240.8355,234.27
12/21/2018,240.7,252779300,246.74,249.71,239.98
12/20/2018,247.17,247438000,249.86,251.62,244.65
12/19/2018,251.26,214312900,255.17,259.4,249.35
12/18/2018,255.08,133073600,257.2,257.95,253.28
12/17/2018,255.36,165088800,259.4,260.65,253.525
12/14/2018,260.47,116727700,262.96,264.03,259.85
12/13/2018,265.37,96168730,266.52,267.49,264.12
12/12/2018,265.46,97670090,267.47,269,265.37
12/11/2018,264.13,120632500,267.66,267.87,262.48
12/10/2018,264.07,151022400,263.37,265.1613,258.62
12/07/2018,263.57,160872400,269.46,271.22,262.63
12/06/2018,269.84,203716500,265.92,269.97,262.44
12/04/2018,270.25,176092500,278.37,278.85,269.9
12/03/2018,279.3,102782300,280.28,280.4,277.505
11/30/2018,275.65,95107720,273.81,276.28,273.45
11/29/2018,273.98,81616860,273.71,275.55,272.43
11/28/2018,274.58,127124600,269.6,274.58,268.3272
11/27/2018,268.4,75273810,266.34,268.4,265.66
11/26/2018,267.5,79705470,265.78,267.75,265.34
11/23/2018,263.25,42807880,263.18,264.8234,263.07
11/21/2018,265.02,73868530,265.86,267.15,265.01
11/20/2018,264.12,135506200,265.36,267,263.15
11/19/2018,269.1,102555300,273.05,273.38,268.07
11/16/2018,273.73,126601900,271.79,274.75,271.21
11/15/2018,273.02,134732600,268.78,273.54,267.0102
11/14/2018,270.2,124389400,274.16,274.61,268.45
11/13/2018,272.06,97769120,273.09,275.325,271.25
11/12/2018,272.57,99129960,277.19,277.46,271.99
